./binary data/person.txt person 
******* Running ICM for up to 500 x 5 iterations
writing runtimes to person-ICM.csv
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.784 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.798 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.811 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.826 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.841 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.857 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.872 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.887 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.901 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.915 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.929 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.941 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.953 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.967 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.981 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.994 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.008 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.021 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.035 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.051 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.066 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.081 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.096 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.110 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.125 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.140 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 3.154 secs
